City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,coquimbo,-29.9533,-71.3436,288.0,88,100,1.54,CL,1701330229
125,yaransk,57.3033,47.8861,263.64,94,96,4.63,RU,1701330457
126,keshorai patan,25.3,75.9333,299.39,49,0,2.96,IN,1701330457
127,barcs,45.96,17.4586,275.32,83,100,2.83,HU,1701330457
128,amga,60.8953,131.9608,260.88,93,100,4.7,RU,1701330457
129,san matias,-16.3667,-58.4,299.62,57,87,1.95,BO,1701330458
130,hammerfest,70.6634,23.6821,272.4,80,75,5.14,NO,1701330458
131,qaqortoq,60.7167,-46.0333,274.08,57,100,9.67,GL,1701330458
132,ishikawa,26.4233,127.8214,296.56,58,75,5.66,JP,1701330458
133,salavat,53.3837,55.9077,267.75,87,65,1.7,RU,1701330458
134,pariaman,-0.619,100.12,300.18,94,100,1.43,ID,1701330459
135,ntungamo,-0.8833,29.65,298.23,64,100,1.5,UG,1701330459
136,la passe,45.5549,-0.8967,280.28,92,100,0.38,FR,1701330459
137,taksimo,56.3444,114.8794,254.32,92,72,0.72,RU,1701330459
138,mount gambier,-37.8333,140.7667,290.3,64,3,5.7,AU,1701330459
139,dunedin,-45.8742,170.5036,283.04,78,98,4.02,NZ,1701330460
140,dakoutun,39.5833,117.2289,273.39,23,0,4.86,CN,1701330460
141,jamestown,42.097,-79.2353,274.92,80,100,5.14,US,1701330438
142,yarmouth,41.7057,-70.2286,276.49,71,40,1.79,US,1701330460
143,broken hill,-31.95,141.4333,297.49,36,100,6.55,AU,1701330448
144,waddan,29.1614,16.139,292.76,24,0,1.36,LY,1701330460
145,wailua homesteads,22.0669,-159.378,295.59,86,40,4.63,US,1701330461
146,dwarka,22.2394,68.9678,299.33,40,0,5.03,IN,1701330461
147,vilyuysk,63.7553,121.6247,262.04,90,100,6.26,RU,1701330461
148,namibe,-15.1961,12.1522,297.59,79,68,2.04,AO,1701330461
149,tyukhtet,56.5389,89.3011,266.45,83,90,2.18,RU,1701330461
150,carnarvon,-24.8667,113.6333,298.02,60,0,8.51,AU,1701330461
151,kingston,17.997,-76.7936,298.68,89,20,2.06,JM,1701330211
152,bereeda,11.8704,51.0579,301.07,63,4,6.61,SO,1701330461
153,nar'yan-mar,67.6713,53.087,263.21,96,99,3.13,RU,1701330461
154,hami,42.8,93.45,280.15,15,5,2.67,CN,1701330462
155,bilibino,68.0546,166.4372,239.98,97,71,1.42,RU,1701330213
156,praia da vitoria,38.7333,-27.0667,287.46,77,75,11.6,PT,1701330462
157,keflavik,64.0049,-22.5624,274.39,86,40,3.09,IS,1701330462
158,longyearbyen,78.2186,15.6401,268.06,86,75,8.23,SJ,1701330462
159,hasaki,35.7333,140.8333,285.37,56,87,11.53,JP,1701330462
160,den burg,53.0542,4.7972,274.14,94,19,1.03,NL,1701330462
161,muynoq,43.7683,59.0214,280.74,35,45,7.02,UZ,1701330462
162,panacan,9.2463,118.4082,302.37,72,28,5.77,PH,1701330463
163,saipan,15.1355,145.701,301.54,83,100,6.69,MP,1701330463
164,balsas,-7.5325,-46.0356,297.46,69,2,0.4,BR,1701330202
165,tionk essil,12.7856,-16.5217,296.13,38,47,2.55,SN,1701330463
166,phang nga,8.4509,98.5298,301.17,74,100,2.22,TH,1701330463
167,sechura,-5.5569,-80.8222,293.26,79,27,3.76,PE,1701330463
168,hamilton,39.1834,-84.5333,277.21,80,75,4.12,US,1701330193
